s,p,o
country:XKX,Gross national expenditure (current US$),11949200000.0
country:WSM,Industry (including construction) value added (% of GDP),15.0658
country:XKX,Industry (including construction) value added (% of GDP),26.6203
country:WSM,GDP (current US$),788390000.0
country:XKX,GDP (current US$),9007160000.0
country:WSM,GDP per capita (current LCU),10126.3
country:XKX,GDP per capita (current LCU),4216.16
country:WSM,GNI per capita (current LCU),9935.08
country:XKX,GNI per capita (current LCU),4311.96
country:ZAF,Gross national expenditure (current US$),389899000000.0
country:ZMB,Industry (including construction) value added (% of GDP),46.6519
country:ZAF,Industry (including construction) value added (% of GDP),24.4634
country:ZMB,GDP (current US$),21203100000.0
country:ZWE,GDP (current US$),26217700000.0
country:ZAF,GDP (current US$),419946000000.0
country:YEM,GDP (current US$),21061700000.0
country:ZWE,GDP per capita (current LCU),195320.0
country:ZAF,GDP per capita (current LCU),103365.0
country:YEM,GDP per capita (current LCU),715259.0
country:ZMB,GDP per capita (current LCU),22433.3
country:ZAF,GNI per capita (current LCU),101393.0
country:ZWE,GNI per capita (current LCU),190435.0
country:ZMB,GNI per capita (current LCU),20400.1
country:IDN,Gini index,37.3
country:ALB,Population growth (annual %),-0.926918
country:ABW,Population growth (annual %),0.401008
country:AGO,Population growth (annual %),3.19592
country:AFG,Population growth (annual %),2.30341
country:AUS,Population growth (annual %),0.178832
country:ARG,Population growth (annual %),0.947491
country:BEL,Population growth (annual %),0.37732
country:AZE,Population growth (annual %),0.514777
country:ASM,Population growth (annual %),-0.170444
country:AND,Population growth (annual %),0.115122
country:ATG,Population growth (annual %),0.813608
country:BDI,Population growth (annual %),3.02056
country:ARE,Population growth (annual %),1.01284
country:BEN,Population growth (annual %),2.66826
country:ARM,Population growth (annual %),0.165021
country:AUT,Population growth (annual %),0.441054
country:BLZ,Population growth (annual %),1.81779
country:BHR,Population growth (annual %),2.7082
country:BRB,Population growth (annual %),0.117201
country:BGD,Population growth (annual %),0.975322
country:BOL,Population growth (annual %),1.36059
country:BIH,Population growth (annual %),-0.530419
country:BFA,Population growth (annual %),2.80119
country:BLR,Population growth (annual %),-0.423478
country:BRA,Population growth (annual %),0.672384
country:BGR,Population growth (annual %),-0.504442
country:BRN,Population growth (annual %),0.921265
country:BHS,Population growth (annual %),0.927918
country:BMU,Population growth (annual %),-0.0407013
country:CHL,Population growth (annual %),0.501731
country:CAN,Population growth (annual %),0.547707
country:COD,Population growth (annual %),3.09642
country:BWA,Population growth (annual %),1.92115
country:CIV,Population growth (annual %),2.52804
country:CHE,Population growth (annual %),0.70568
country:BTN,Population growth (annual %),1.06839
country:CMR,Population growth (annual %),2.52346
country:CAF,Population growth (annual %),1.85083
country:COG,Population growth (annual %),2.48646
country:CHN,Population growth (annual %),0.0892522
country:CYM,Population growth (annual %),1.17686
country:CRI,Population growth (annual %),0.878307
country:DJI,Population growth (annual %),1.42651
country:COM,Population growth (annual %),2.14575
country:CZE,Population growth (annual %),0.0522211
country:CUB,Population growth (annual %),-0.0805331
country:COL,Population growth (annual %),0.749806
country:CUW,Population growth (annual %),-1.67779
country:DEU,Population growth (annual %),-0.037989
country:CPV,Population growth (annual %),1.0579
country:DMA,Population growth (annual %),0.251105
country:CYP,Population growth (annual %),0.679092
country:ESP,Population growth (annual %),-0.0775836
country:DOM,Population growth (annual %),0.97067
country:EGY,Population growth (annual %),1.86258
country:DNK,Population growth (annual %),0.433414
country:ECU,Population growth (annual %),1.38141
country:DZA,Population growth (annual %),1.73081
country:FRO,Population growth (annual %),0.383995
country:GEO,Population growth (annual %),-0.379637
country:ETH,Population growth (annual %),2.50197
country:GAB,Population growth (annual %),2.35777
country:FJI,Population growth (annual %),0.717487
country:EST,Population growth (annual %),-0.0169254
country:FRA,Population growth (annual %),0.177099
country:GBR,Population growth (annual %),0.36541
country:GHA,Population growth (annual %),2.09922
country:FIN,Population growth (annual %),0.219542
country:FSM,Population growth (annual %),1.06713
country:GRL,Population growth (annual %),0.506106
country:GNB,Population growth (annual %),2.38456
country:GIN,Population growth (annual %),2.73727
country:GUM,Population growth (annual %),0.826634
country:HND,Population growth (annual %),1.58646
country:GRC,Population growth (annual %),-0.336886
country:GIB,Population growth (annual %),0.0
country:GRD,Population growth (annual %),0.439846
country:GUY,Population growth (annual %),0.478158
country:GMB,Population growth (annual %),2.86638
country:HKG,Population growth (annual %),-0.911777
country:GNQ,Population growth (annual %),3.28863
country:GTM,Population growth (annual %),1.48032
country:HUN,Population growth (annual %),-0.413803
country:IND,Population growth (annual %),0.966661
country:HRV,Population growth (annual %),-3.74238
country:IDN,Population growth (annual %),1.03228
country:IMN,Population growth (annual %),0.443553
country:HTI,Population growth (annual %),1.21296
country:JOR,Population growth (annual %),0.643627
country:ISL,Population growth (annual %),1.5789
country:KGZ,Population growth (annual %),1.72219
country:IRN,Population growth (annual %),1.22566
country:KAZ,Population growth (annual %),1.30792
country:ITA,Population growth (annual %),-0.646839
country:IRL,Population growth (annual %),0.849943
country:JAM,Population growth (annual %),0.414551
country:KEN,Population growth (annual %),2.23333
country:IRQ,Population growth (annual %),2.35103
country:KHM,Population growth (annual %),1.35141
country:ISR,Population growth (annual %),1.60291
country:JPN,Population growth (annual %),-0.459952
country:LBR,Population growth (annual %),2.39379
country:KWT,Population growth (annual %),1.34876
country:KNA,Population growth (annual %),0.663309
country:LCA,Population growth (annual %),0.419532
country:LAO,Population growth (annual %),1.41664
country:KIR,Population growth (annual %),1.61276
country:LBN,Population growth (annual %),-0.828143
country:KOR,Population growth (annual %),-0.176409
country:LBY,Population growth (annual %),1.2618
country:LUX,Population growth (annual %),1.36293
country:MAR,Population growth (annual %),1.16957
country:LKA,Population growth (annual %),1.07545
country:MAC,Population growth (annual %),1.38394
country:LIE,Population growth (annual %),0.306319
country:LTU,Population growth (annual %),0.0155987
country:MAF,Population growth (annual %),1.48915
country:MCO,Population growth (annual %),0.700831
country:LSO,Population growth (annual %),0.781857
country:LVA,Population growth (annual %),-0.91379
country:MKD,Population growth (annual %),-0.359579
country:MDG,Population growth (annual %),2.6243
country:MLT,Population growth (annual %),0.29781
country:MHL,Population growth (annual %),0.713736
country:MDA,Population growth (annual %),-1.79301
country:MMR,Population growth (annual %),0.725576
country:MDV,Population growth (annual %),0.567813
country:MNE,Population growth (annual %),-0.182524
country:MEX,Population growth (annual %),1.02585
